County Code,Site Num,POC,Latitude,Longitude,Datum,Date Local,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,County Name,City Name,CBSA Name
1,7,1,37.687526,-121.784217,WGS84,3/26/21,None,23,96,8.895652,25.7,5,24,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/27/21,None,23,96,10.630435,22.7,22,21,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/28/21,None,23,96,7.786957,21.6,5,20,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/29/21,None,23,96,7.413043,24.7,5,23,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/30/21,None,23,96,2.834783,14.0,19,13,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,3/31/21,None,23,96,11.582609,32.9,6,30,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/1/21,None,23,96,13.36087,33.0,5,31,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/2/21,None,23,96,11.913043,35.5,4,33,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/3/21,None,23,96,1.443478,5.8,6,5,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/4/21,None,23,96,0.591304,1.3,15,1,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/5/21,None,23,96,1.108696,2.2,21,2,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/6/21,None,23,96,2.652174,7.1,19,7,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/7/21,None,23,96,1.721739,4.5,20,4,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/8/21,None,23,96,2.278261,5.8,21,5,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/9/21,None,23,96,1.173913,4.3,0,4,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/10/21,None,23,96,1.165217,2.9,17,2,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/11/21,None,23,96,3.630435,8.2,5,8,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/12/21,None,23,96,5.826087,14.9,4,13,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/13/21,None,23,96,1.43913,3.6,8,3,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/14/21,None,23,96,3.813043,15.8,23,14,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/15/21,None,23,96,6.834783,19.4,6,18,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/16/21,None,23,96,4.656522,14.9,5,13,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/17/21,None,23,96,3.678261,15.6,23,14,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/18/21,None,23,96,5.830435,17.2,0,16,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/19/21,None,23,96,3.504348,7.5,0,7,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/20/21,None,23,96,1.482609,6.9,5,6,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/21/21,None,23,96,3.521739,10.6,6,9,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
1,7,1,37.687526,-121.784217,WGS84,4/22/21,None,23,96,1.404348,2.5,12,2,74,INSTRUMENTAL - CHEMILUMINESCENCE,Livermore,793 Rincon Ave.,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA"
